Direction,Steps,Position X,Position Y
R0,R0,0,0
L992,L992,0,0
D463,D463,0,0
R10,R10,0,0
D791,D791,0,0
R312,R312,0,0
D146,D146,0,0
R865,R865,0,0
D244,D244,0,0
L364,L364,0,0
D189,D189,0,0
R35,R35,0,0
U328,U328,0,0
R857,R857,0,0
D683,D683,0,0
L660,L660,0,0
D707,D707,0,0
L908,L908,0,0
D277,D277,0,0
R356,R356,0,0
U369,U369,0,0
R197,R197,0,0
D35,D35,0,0
R625,R625,0,0
D862,D862,0,0
L769,L769,0,0
U705,U705,0,0
L728,L728,0,0
U999,U999,0,0
R938,R938,0,0
U233,U233,0,0
L595,L595,0,0
U266,U266,0,0
L697,L697,0,0
U966,U966,0,0
L536,L536,0,0
D543,D543,0,0
L669,L669,0,0
D829,D829,0,0
R910,R910,0,0
U693,U693,0,0
R753,R753,0,0
D389,D389,0,0
L647,L647,0,0
U603,U603,0,0
L660,L660,0,0
D787,D787,0,0
L138,L138,0,0
D119,D119,0,0
L131,L131,0,0
D266,D266,0,0
R268,R268,0,0
D917,D917,0,0
R776,R776,0,0
U290,U290,0,0
R920,R920,0,0
U904,U904,0,0
L46,L46,0,0
D139,D139,0,0
L341,L341,0,0
D19,D19,0,0
R982,R982,0,0
U790,U790,0,0
L981,L981,0,0
U791,U791,0,0
L147,L147,0,0
U30,U30,0,0
L246,L246,0,0
U677,U677,0,0
R343,R343,0,0
D492,D492,0,0
R398,R398,0,0
D234,D234,0,0
R76,R76,0,0
D423,D423,0,0
L709,L709,0,0
D392,D392,0,0
R741,R741,0,0
U408,U408,0,0
R878,R878,0,0
U29,U29,0,0
R446,R446,0,0
U36,U36,0,0
R806,R806,0,0
U78,U78,0,0
L76,L76,0,0
D813,D813,0,0
R584,R584,0,0
U682,U682,0,0
L187,L187,0,0
U666,U666,0,0
L340,L340,0,0
D301,D301,0,0
L694,L694,0,0
U15,U15,0,0
R800,R800,0,0
U276,U276,0,0
L755,L755,0,0
U558,U558,0,0
R366,R366,0,0
D309,D309,0,0
R571,R571,0,0
U976,U976,0,0
L286,L286,0,0
D833,D833,0,0
R318,R318,0,0
U365,U365,0,0
L864,L864,0,0
U408,U408,0,0
L352,L352,0,0
D61,D61,0,0
R284,R284,0,0
D272,D272,0,0
R240,R240,0,0
D845,D845,0,0
L206,L206,0,0
U721,U721,0,0
R367,R367,0,0
D541,D541,0,0
R628,R628,0,0
U581,U581,0,0
L750,L750,0,0
D680,D680,0,0
R695,R695,0,0
D30,D30,0,0
R849,R849,0,0
U743,U743,0,0
L214,L214,0,0
U605,U605,0,0
R533,R533,0,0
U493,U493,0,0
R803,R803,0,0
D783,D783,0,0
R168,R168,0,0
U877,U877,0,0
L61,L61,0,0
D726,D726,0,0
L794,L794,0,0
D116,D116,0,0
R717,R717,0,0
U44,U44,0,0
R964,R964,0,0
U674,U674,0,0
L291,L291,0,0
D372,D372,0,0
L381,L381,0,0
D523,D523,0,0
L644,L644,0,0
U438,U438,0,0
R983,R983,0,0
D390,D390,0,0
R520,R520,0,0
D471,D471,0,0
R556,R556,0,0
D693,D693,0,0
L919,L919,0,0
D863,D863,0,0
R84,R84,0,0
D629,D629,0,0
L264,L264,0,0
D429,D429,0,0
R82,R82,0,0
U64,U64,0,0
R835,R835,0,0
D801,D801,0,0
R93,R93,0,0
U770,U770,0,0
R441,R441,0,0
D152,D152,0,0
L718,L718,0,0
D788,D788,0,0
L797,L797,0,0
U699,U699,0,0
L82,L82,0,0
U206,U206,0,0
L40,L40,0,0
U952,U952,0,0
R902,R902,0,0
U570,U570,0,0
L759,L759,0,0
D655,D655,0,0
L131,L131,0,0
D901,D901,0,0
L470,L470,0,0
D804,D804,0,0
L407,L407,0,0
U458,U458,0,0
L922,L922,0,0
D21,D21,0,0
L171,L171,0,0
U841,U841,0,0
L237,L237,0,0
D301,D301,0,0
R192,R192,0,0
D293,D293,0,0
R984,R984,0,0
U243,U243,0,0
R846,R846,0,0
U139,U139,0,0
L413,L413,0,0
U162,U162,0,0
R925,R925,0,0
D235,D235,0,0
L115,L115,0,0
U443,U443,0,0
L884,L884,0,0
D910,D910,0,0
R335,R335,0,0
U274,U274,0,0
L338,L338,0,0
U160,U160,0,0
R125,R125,0,0
D775,D775,0,0
R824,R824,0,0
D821,D821,0,0
R531,R531,0,0
D761,D761,0,0
L189,L189,0,0
U822,U822,0,0
L602,L602,0,0
D732,D732,0,0
R473,R473,0,0
U149,U149,0,0
L128,L128,0,0
U30,U30,0,0
R77,R77,0,0
D957,D957,0,0
R811,R811,0,0
D154,D154,0,0
L988,L988,0,0
D237,D237,0,0
R425,R425,0,0
D855,D855,0,0
R482,R482,0,0
D571,D571,0,0
R134,R134,0,0
D731,D731,0,0
L905,L905,0,0
U869,U869,0,0
R916,R916,0,0
D689,D689,0,0
L17,L17,0,0
U24,U24,0,0
R353,R353,0,0
D996,D996,0,0
R832,R832,0,0
U855,U855,0,0
L76,L76,0,0
U659,U659,0,0
R581,R581,0,0
D483,D483,0,0
R821,R821,0,0
D145,D145,0,0
R199,R199,0,0
D344,D344,0,0
R487,R487,0,0
D436,D436,0,0
L92,L92,0,0
U491,U491,0,0
R365,R365,0,0
D909,D909,0,0
L17,L17,0,0
D148,D148,0,0
R307,R307,0,0
U57,U57,0,0
R666,R666,0,0
U660,U660,0,0
R195,R195,0,0
D767,D767,0,0
R612,R612,0,0
D902,D902,0,0
L594,L594,0,0
D299,D299,0,0
R670,R670,0,0
D881,D881,0,0
L583,L583,0,0
D793,D793,0,0
R58,R58,0,0
U89,U89,0,0
L99,L99,0,0
D355,D355,0,0
R394,R394,0,0
D350,D350,0,0
R920,R920,0,0
U544,U544,0,0
R887,R887,0,0
U564,U564,0,0
L238,L238,0,0
U979,U979,0,0
L565,L565,0,0
D914,D914,0,0
L95,L95,0,0
U150,U150,0,0
R292,R292,0,0
U495,U495,0,0
R506,R506,0,0
U475,U475,0,0
R813,R813,0,0
D308,D308,0,0
L797,L797,0,0
D484,D484,0,0
R9,R9,0,0
